trade_index,year,net_usd,exit_reason
1,2021,-909.60,STOP_LOSS
2,2021,6561.72,TAKE_PROFIT
3,2021,-1397.02,STOP_LOSS
4,2021,4628.58,SIGNAL
5,2021,-1392.72,STOP_LOSS
6,2021,3536.48,SIGNAL
7,2021,-1369.28,STOP_LOSS
8,2021,-1380.28,STOP_LOSS
9,2021,-1408.52,STOP_LOSS
10,2021,1996.72,SIGNAL
11,2022,-1380.28,STOP_LOSS
12,2022,-1380.28,STOP_LOSS
13,2022,-1380.28,STOP_LOSS
14,2022,-1380.28,STOP_LOSS
15,2022,-1413.46,STOP_LOSS
16,2022,-1380.28,STOP_LOSS
17,2022,-1380.28,STOP_LOSS
18,2022,-1380.28,STOP_LOSS
19,2022,-1420.02,STOP_LOSS
20,2022,-1380.28,STOP_LOSS
21,2022,-1380.28,STOP_LOSS
22,2022,-1380.28,STOP_LOSS
23,2022,-1380.28,STOP_LOSS
24,2022,-1380.28,STOP_LOSS
25,2022,6519.00,TAKE_PROFIT
26,2022,-1377.88,STOP_LOSS
27,2022,-1413.46,STOP_LOSS
28,2022,1028.72,SIGNAL
29,2022,5076.76,SIGNAL
30,2022,4644.00,SIGNAL
31,2022,-1380.28,STOP_LOSS
32,2022,-1380.28,STOP_LOSS
33,2022,-1380.28,STOP_LOSS
34,2022,-1380.28,STOP_LOSS
35,2022,-1380.28,STOP_LOSS
36,2022,4295.72,SIGNAL
37,2022,6561.72,TAKE_PROFIT
38,2023,-1380.28,STOP_LOSS
39,2023,-1381.00,STOP_LOSS
40,2023,-1289.60,STOP_LOSS
41,2023,-1169.60,STOP_LOSS
42,2023,5830.40,TAKE_PROFIT
43,2023,6504.32,TAKE_PROFIT
44,2023,-1385.76,STOP_LOSS
45,2023,-1397.24,STOP_LOSS
46,2023,-1390.90,STOP_LOSS
47,2023,6378.56,TAKE_PROFIT
48,2023,-1380.28,STOP_LOSS
49,2023,6519.00,TAKE_PROFIT
50,2023,-1380.28,STOP_LOSS
51,2023,-1373.76,STOP_LOSS
52,2023,-1408.40,STOP_LOSS
53,2023,-1410.48,STOP_LOSS
54,2023,-1383.68,STOP_LOSS
55,2023,-1380.28,STOP_LOSS
56,2023,-1393.92,STOP_LOSS
57,2023,6584.76,TAKE_PROFIT
58,2023,-1378.72,STOP_LOSS
59,2023,-1089.60,STOP_LOSS
60,2023,6330.40,TAKE_PROFIT
61,2024,-1380.28,STOP_LOSS
62,2024,-1380.28,STOP_LOSS
63,2024,-1376.64,STOP_LOSS
64,2024,-1309.60,STOP_LOSS
65,2024,-1406.72,STOP_LOSS
66,2024,-1380.28,STOP_LOSS
67,2024,-1385.16,STOP_LOSS
68,2024,-1380.28,STOP_LOSS
69,2024,6561.72,TAKE_PROFIT
70,2024,4416.72,SIGNAL
71,2024,-1399.68,STOP_LOSS
72,2024,-1410.42,STOP_LOSS
73,2024,5430.40,TAKE_PROFIT
74,2024,-1380.28,STOP_LOSS
75,2024,-1396.12,STOP_LOSS
76,2024,6474.54,TAKE_PROFIT
77,2024,-1380.28,STOP_LOSS
78,2024,-1380.28,STOP_LOSS
79,2024,-1380.28,STOP_LOSS
80,2024,6514.98,TAKE_PROFIT
81,2024,4086.72,SIGNAL
82,2024,-1406.00,STOP_LOSS
83,2024,6561.72,TAKE_PROFIT
84,2024,-1385.76,STOP_LOSS
85,2024,-1393.50,STOP_LOSS
86,2024,-1378.72,STOP_LOSS
87,2024,-1380.28,STOP_LOSS
88,2024,-1380.28,STOP_LOSS
89,2024,-1380.28,STOP_LOSS
90,2024,6514.98,TAKE_PROFIT
91,2024,-909.60,STOP_LOSS
92,2024,-1380.28,STOP_LOSS
93,2024,-1089.60,STOP_LOSS
94,2024,-1398.96,STOP_LOSS
95,2024,6561.72,TAKE_PROFIT
96,2024,-1743.28,STOP_LOSS
97,2025,2843.72,SIGNAL
98,2025,-1380.28,STOP_LOSS
99,2025,-1380.28,STOP_LOSS
100,2025,-1380.28,STOP_LOSS
101,2025,-1380.28,STOP_LOSS
102,2025,2467.08,SIGNAL
103,2025,6561.72,TAKE_PROFIT
104,2025,6561.72,TAKE_PROFIT
105,2025,-1380.28,STOP_LOSS
106,2025,-1380.28,STOP_LOSS
107,2025,-2282.28,STOP_LOSS
108,2025,6561.72,TAKE_PROFIT
109,2025,6561.72,TAKE_PROFIT
110,2025,-1380.28,STOP_LOSS
111,2025,-1402.20,STOP_LOSS
112,2025,-1380.28,STOP_LOSS
113,2025,-1380.28,STOP_LOSS
114,2025,-1380.28,STOP_LOSS
115,2025,2931.72,SIGNAL
116,2025,-1380.28,STOP_LOSS
117,2025,181.72,SIGNAL
118,2025,-1380.28,STOP_LOSS
119,2025,1875.72,SIGNAL
120,2025,-1420.02,STOP_LOSS
121,2025,3690.72,SIGNAL
122,2025,-1380.28,STOP_LOSS
123,2025,-1385.16,STOP_LOSS
124,2025,-1380.28,STOP_LOSS
125,2025,-1380.28,STOP_LOSS
126,2025,-1380.28,STOP_LOSS
127,2026,-1380.28,STOP_LOSS
128,2026,390.72,SIGNAL
129,2026,-1380.28,STOP_LOSS
130,2026,-1380.28,STOP_LOSS
131,2026,-1380.28,STOP_LOSS
132,2026,-1380.28,STOP_LOSS
133,2026,6561.72,TAKE_PROFIT
134,2026,-1380.28,STOP_LOSS
135,2026,-1380.28,STOP_LOSS
136,2026,6561.72,TAKE_PROFIT
137,2026,-1380.28,STOP_LOSS
138,2026,6561.72,TAKE_PROFIT
139,2026,-1380.28,STOP_LOSS
140,2026,6561.72,TAKE_PROFIT
141,2026,1160.72,SIGNAL
142,2026,6561.72,TAKE_PROFIT
143,2026,-1380.28,STOP_LOSS
