session_date,regime_sign,open_ref,published_level,session_high,session_low,close_330,data_quality
2024-01-01,-1,5000.00,4991.50,5011.81,4994.73,5006.75,0.9276
2024-01-02,1,5006.75,5004.06,5011.07,5002.30,5008.57,0.8911
2024-01-03,1,5008.57,5000.82,5016.96,5005.52,5012.42,0.8990
2024-01-04,1,5012.42,5006.78,5013.93,4999.04,5008.09,0.9744
2024-01-05,-1,5008.09,5011.37,5012.33,4991.75,5003.43,0.8907
2024-01-06,-1,5003.43,4998.56,5016.64,4998.79,5011.07,0.9284
2024-01-07,-1,5011.07,5010.09,5032.64,5007.37,5018.91,0.9275
2024-01-08,-1,5018.91,5018.23,5030.30,5009.93,5019.25,0.8850
2024-01-09,-1,5019.25,5018.29,5020.05,4994.79,4999.28,0.9432
2024-01-10,-1,4999.28,5001.50,5013.32,4992.95,5004.86,0.9660
2024-01-11,1,5004.86,5005.26,5007.23,4996.42,5003.88,0.9682
2024-01-12,1,5003.88,5000.02,5004.97,4995.34,4999.53,0.8652
2024-01-13,1,4999.53,5013.92,5005.20,4996.04,5000.92,0.9434
2024-01-14,-1,5000.92,5005.25,5041.36,5000.74,5039.09,0.8607
2024-01-15,1,5039.09,5027.53,5060.49,5039.20,5053.81,0.9647
2024-01-16,1,5053.81,5058.99,5055.66,5047.42,5053.57,0.8962
2024-01-17,-1,5053.57,5063.55,5071.49,5045.92,5064.79,0.9185
2024-01-18,-1,5064.79,5063.42,5074.60,5058.70,5073.35,0.9459
2024-01-19,1,5073.35,5064.56,5074.63,5059.27,5061.20,0.9994
2024-01-20,1,5061.20,5060.26,5066.98,5049.78,5051.31,0.9419
2024-01-21,1,5051.31,5060.15,5063.18,5049.11,5060.90,0.9833
2024-02-01,1,5060.90,5063.40,5067.85,5048.60,5053.36,0.9820
2024-02-02,-1,5053.36,5059.80,5053.11,5039.31,5045.10,0.9895
2024-02-03,1,5045.10,5037.90,5056.41,5045.50,5051.09,0.8670
2024-02-04,-1,5051.09,5059.38,5055.39,5043.50,5046.67,0.9296
2024-02-05,-1,5046.67,5043.97,5049.06,5031.88,5036.62,0.8766
2024-02-06,1,5036.62,5038.86,5040.47,5026.58,5031.67,0.9526
2024-02-07,1,5031.67,5033.16,5032.49,5015.89,5020.44,0.9245
2024-02-08,1,5020.44,5012.93,5019.97,5008.82,5008.93,0.8633
2024-02-09,-1,5008.93,5019.42,5021.39,5008.23,5018.54,0.9577
2024-02-10,-1,5018.54,5022.92,5021.27,5010.66,5018.18,0.8686
2024-02-11,1,5018.18,5018.55,5018.79,5002.31,5007.41,0.8900
2024-02-12,1,5007.41,5001.77,5016.77,5006.68,5008.81,0.8989
2024-02-13,-1,5008.81,5004.81,5013.06,4997.50,5003.44,0.9691
2024-02-14,1,5003.44,4993.14,5022.50,5003.62,5018.46,0.8993
2024-02-15,-1,5018.46,5014.69,5033.01,5013.26,5021.24,0.9978
2024-02-16,-1,5021.24,5019.80,5026.68,5015.91,5017.75,0.9047
2024-02-17,-1,5017.75,5014.44,5027.22,5015.04,5022.62,0.9040
2024-02-18,-1,5022.62,5014.24,5025.90,5005.31,5009.12,0.8676
2024-02-19,-1,5009.12,5017.22,5014.05,4999.75,5003.19,0.9732
2024-02-20,1,5003.19,5001.58,5014.35,5003.59,5012.05,0.9251
2024-02-21,1,5012.05,5012.21,5020.98,5000.71,5014.70,0.8791
2024-03-01,1,5014.70,5021.59,5017.69,5003.59,5006.42,0.9255
2024-03-02,1,5006.42,5003.34,5010.74,4990.27,4992.64,0.9002
2024-03-03,1,4992.64,4990.85,4997.90,4985.16,4985.47,0.9532
2024-03-04,-1,4985.47,4985.39,4992.78,4971.96,4985.81,0.8777
2024-03-05,-1,4985.81,4990.76,5002.26,4987.13,4991.14,0.9637
2024-03-06,-1,4991.14,4989.29,5017.26,4992.16,5012.31,0.8969
2024-03-07,-1,5012.31,5007.28,5021.54,5005.15,5014.73,0.9400
2024-03-08,1,5014.73,5014.09,5017.29,5005.26,5013.94,0.8655
2024-03-09,-1,5013.94,5022.28,5019.33,5004.70,5012.84,0.9157
2024-03-10,-1,5012.84,5013.17,5015.20,4997.20,4998.41,0.8779
2024-03-11,-1,4998.41,4986.70,5004.36,4986.64,4991.58,0.9641
2024-03-12,1,4991.58,4997.94,5015.34,4990.87,5011.27,0.9265
2024-03-13,1,5011.27,5006.97,5015.07,5000.85,5007.65,0.9704
2024-03-14,1,5007.65,5018.27,5015.00,5003.41,5007.46,0.9208
2024-03-15,-1,5007.46,5001.70,5018.70,4997.74,5016.84,0.9723
2024-03-16,1,5016.84,5028.20,5035.96,5013.80,5034.15,0.9138
2024-03-17,1,5034.15,5032.80,5046.02,5033.72,5042.47,0.8619
2024-03-18,-1,5042.47,5039.20,5053.53,5026.85,5038.46,0.9111
2024-03-19,1,5038.46,5039.54,5047.78,5032.87,5044.63,0.9715
