session_date,regime_sign,open_ref,published_level,session_high,session_low,close_330,data_quality
2024-01-01,-1,5000.00,5007.53,5012.45,4994.75,4998.51,0.9641
2024-01-02,1,4998.51,4999.69,5003.17,4984.14,4988.64,0.9630
2024-01-03,-1,4988.64,4984.16,5001.26,4984.97,4998.88,0.8724
2024-01-04,1,4998.88,4999.97,5008.96,4993.03,5003.81,0.8881
2024-01-05,-1,5003.81,5006.21,5011.68,4997.91,5004.15,0.9401
2024-01-06,-1,5004.15,5006.18,5017.35,5000.79,5012.49,0.9723
2024-01-07,1,5012.49,5014.56,5016.60,5005.78,5014.67,0.9684
2024-01-08,1,5014.67,5011.35,5020.25,5010.93,5014.64,0.9993
2024-01-09,1,5014.64,5013.65,5015.22,5003.19,5008.38,0.8926
2024-01-10,1,5008.38,5002.26,5013.95,5001.26,5007.32,0.9909
2024-01-11,-1,5007.32,5010.92,5013.85,4993.47,4997.81,0.9385
2024-01-12,-1,4997.81,5010.65,5019.29,4996.21,5009.51,0.8665
2024-01-13,1,5009.51,5009.68,5014.46,5000.36,5005.35,0.9441
2024-01-14,1,5005.35,5009.43,5013.21,5004.17,5009.82,0.8781
2024-01-15,-1,5009.82,5002.71,5019.68,5002.71,5011.22,0.8755
2024-01-16,-1,5011.22,5007.95,5018.24,5000.66,5010.93,0.9552
2024-01-17,-1,5010.93,5015.86,5022.37,5004.75,5017.14,0.9336
2024-01-18,1,5017.14,5009.50,5027.34,5015.36,5020.17,0.8643
2024-01-19,1,5020.17,5027.26,5024.88,5007.81,5011.73,0.9165
2024-01-20,-1,5011.73,5007.82,5049.59,5010.90,5046.46,0.9623
2024-01-21,1,5046.46,5050.04,5057.00,5040.48,5047.02,0.8713
2024-02-01,1,5047.02,5048.79,5055.04,5046.15,5051.40,0.9701
2024-02-02,1,5051.40,5050.74,5059.13,5048.86,5055.82,0.9916
2024-02-03,1,5055.82,5050.08,5061.92,5050.20,5056.13,0.9197
2024-02-04,1,5056.13,5052.75,5057.65,5044.34,5048.63,0.9181
2024-02-05,1,5048.63,5062.70,5051.59,5035.56,5040.30,0.9229
2024-02-06,1,5040.30,5039.11,5056.36,5037.60,5054.96,0.8907
2024-02-07,-1,5054.96,5053.95,5075.97,5051.14,5072.52,0.8701
2024-02-08,1,5072.52,5073.44,5074.95,5061.79,5064.92,0.9134
2024-02-09,1,5064.92,5071.67,5066.38,5053.01,5057.60,0.9485
2024-02-10,1,5057.60,5046.41,5064.63,5055.24,5062.00,0.8978
2024-02-11,1,5062.00,5066.12,5062.33,5051.84,5057.59,0.9951
2024-02-12,-1,5057.59,5054.24,5084.49,5058.33,5079.64,0.9298
2024-02-13,-1,5079.64,5080.42,5108.28,5079.00,5100.56,0.9160
2024-02-14,1,5100.56,5111.02,5109.45,5092.86,5097.86,0.8803
2024-02-15,-1,5097.86,5096.85,5110.56,5095.13,5109.11,0.9660
2024-02-16,-1,5109.11,5098.46,5136.05,5106.28,5133.31,0.8648
2024-02-17,-1,5133.31,5133.13,5142.24,5131.82,5136.37,0.8826
2024-02-18,-1,5136.37,5128.22,5138.15,5123.94,5124.36,0.8799
2024-02-19,-1,5124.36,5125.95,5129.23,5111.04,5120.14,0.9298
2024-02-20,-1,5120.14,5118.95,5133.19,5116.89,5123.70,0.8952
2024-02-21,-1,5123.70,5119.66,5146.95,5120.88,5141.80,0.8900
2024-03-01,-1,5141.80,5130.25,5159.26,5138.73,5156.17,0.9805
2024-03-02,1,5156.17,5151.41,5165.80,5151.57,5158.88,0.9392
2024-03-03,-1,5158.88,5174.42,5164.77,5146.45,5153.17,0.9145
2024-03-04,1,5153.17,5151.09,5155.06,5133.75,5136.82,0.9127
2024-03-05,-1,5136.82,5135.43,5162.65,5134.98,5151.30,0.9022
2024-03-06,1,5151.30,5155.29,5158.71,5149.64,5154.03,0.9087
2024-03-07,1,5154.03,5159.93,5159.87,5151.33,5152.74,0.9267
2024-03-08,1,5152.74,5157.31,5166.43,5151.91,5160.87,0.9608
2024-03-09,-1,5160.87,5161.34,5167.94,5155.22,5161.97,0.9326
2024-03-10,1,5161.97,5159.71,5173.18,5160.47,5165.23,0.9065
2024-03-11,1,5165.23,5161.39,5174.42,5164.72,5170.07,0.9105
2024-03-12,-1,5170.07,5166.48,5192.76,5167.08,5185.54,0.9072
2024-03-13,1,5185.54,5177.88,5203.42,5182.10,5192.46,0.9507
2024-03-14,-1,5192.46,5189.57,5201.61,5188.38,5195.81,0.9129
2024-03-15,1,5195.81,5202.67,5213.47,5194.82,5208.05,0.9888
2024-03-16,1,5208.05,5205.07,5220.34,5208.90,5218.30,0.9036
2024-03-17,-1,5218.30,5212.18,5218.56,5203.92,5209.93,0.9411
2024-03-18,-1,5209.93,5206.23,5235.71,5202.34,5228.39,0.8604
2024-03-19,-1,5228.39,5232.88,5237.90,5220.12,5231.59,0.9464
2024-03-20,-1,5231.59,5245.25,5236.09,5195.95,5203.26,0.9458
2024-03-21,-1,5203.26,5197.57,5207.89,5193.66,5198.29,0.8607
2024-04-01,1,5198.29,5201.54,5209.76,5197.45,5205.62,0.9943
2024-04-02,-1,5205.62,5205.55,5240.40,5196.89,5236.08,0.8873
2024-04-03,-1,5236.08,5245.43,5242.94,5214.25,5216.46,0.8733
2024-04-04,1,5216.46,5210.82,5225.40,5210.73,5222.70,0.9072
2024-04-05,1,5222.70,5226.18,5225.24,5215.70,5219.91,0.8873
2024-04-06,-1,5219.91,5218.67,5223.15,5201.94,5205.83,0.8910
2024-04-07,1,5205.83,5214.30,5212.75,5199.40,5208.43,0.9406
2024-04-08,-1,5208.43,5217.90,5220.48,5206.96,5215.66,0.8688
2024-04-09,-1,5215.66,5221.52,5215.09,5200.15,5201.90,0.9416
2024-04-10,-1,5201.90,5213.31,5229.65,5202.49,5228.64,0.9870
2024-04-11,1,5228.64,5221.48,5227.99,5209.59,5213.33,0.8719
2024-04-12,1,5213.33,5207.12,5218.79,5208.31,5212.83,0.9253
2024-04-13,1,5212.83,5218.74,5218.66,5208.36,5215.45,0.9606
2024-04-14,1,5215.45,5199.36,5222.93,5211.51,5216.05,0.9934
2024-04-15,1,5216.05,5220.73,5217.59,5191.14,5192.48,0.9320
2024-04-16,1,5192.48,5192.72,5206.22,5191.06,5206.09,0.8903
2024-04-17,-1,5206.09,5204.95,5221.61,5197.89,5201.61,0.8621
2024-04-18,1,5201.61,5204.78,5206.35,5197.59,5201.99,0.9308
2024-04-19,-1,5201.99,5204.76,5203.76,5192.05,5197.49,0.9992
2024-04-20,-1,5197.49,5193.90,5200.46,5171.81,5172.55,0.9431
2024-04-21,1,5172.55,5172.33,5174.78,5161.20,5166.96,0.9344
2024-05-01,1,5166.96,5174.21,5172.12,5160.43,5164.59,0.9574
